Code,Stasiun,Alias
AC,Ancol,"ac, ancol, ncl"
AK,Angke,"ak, angke, ngk"
BBN,Brambanan,"bbn, brambanan, brmbnn"
BJD,Bojonggede,"bjd, bojonggede, bjnggd"
BKS,Bekasi,"bks, bekasi"
BKST,Bekasi Timur,"bkst, bekasi timur, bekasitimur, bks tmr"
BOI,Bojong Indah,"boi, bojong indah, bojongindah, bjng ndh"
BOO,Bogor,"boo, bogor, bgr"
BPR,Batu Ceper,"bpr, batu ceper, batuceper, bt cpr"
BST,Bandara Soekarno-Hatta,"bst, bandara soekarno-hatta, bandarasoekarnohatta, bndr skrn-htt"
BUA,Buaran,"bua, buaran, brn"
CBN,Cibinong,"cbn, cibinong, cbnng"
CC,Cicayur,"cc, cicayur, ccyr"
CE,Ceper,"ce, ceper, cpr"
CIT,Cibitung,"cit, cibitung, cbtng"
CJT,Cilejit,"cjt, cilejit, cljt"
CKI,Cikini,"cki, cikini, ckn"
CKR,Cikarang,"ckr, cikarang, ckrng"
CKY,Cikoya,"cky, cikoya"
CLT,Cilebut,"clt, cilebut, clbt"
CSK,Cisauk,"csk, cisauk"
CTA,Citayam,"cta, citayam, ctym"
CTR,Citeras,"ctr, citeras, ctrs"
CUK,Cakung,"cuk, cakung, ckng"
CW,Cawang,"cw, cawang, cwng"
DAR,Daru,"dar, daru, dr"
DL,Delanggu,"dl, delanggu, dlngg"
DP,Depok,"dp, depok, dpk"
DPB,Depok Baru,"dpb, depok baru, depokbaru, dpk br"
DRN,Duren Kalibata,"drn, duren kalibata, durenkalibata, drn klbt"
DU,Duri,"du, duri, dr"
GDD,Gondangdia,"gdd, gondangdia, gndngd"
GRG,Grogol,"grg, grogol, grgl"
GST,Gang Sentiong,"gst, gang sentiong, gangsentiong, gng sntng"
GW,Gawok,"gw, gawok, gwk"
JAKK,Jakarta Kota,"jakk, jakarta kota, jakartakota, jkrt kt"
JAY,Jayakarta,"jay, jayakarta, jykrt"
JMU,Jurangmangu,"jmu, jurangmangu, jrngmng"
JNG,Jatinegara,"jng, jatinegara, jtngr"
JUA,Juanda,"jua, juanda, jnd"
KAT,Karet,"kat, karet, krt"
KBY,Kebayoran,"kby, kebayoran, kbyrn"
KDS,Kalideres,"kds, kalideres, kldrs"
KLD,Klender,"kld, klender, klndr"
KLDB,Klender Baru,"kldb, klender baru, klenderbaru, klndr br"
KMO,Kemayoran,"kmo, kemayoran, kmyrn"
KMT,Kramat,"kmt, kramat, krmt"
KPB,Kampung Bandan,"kpb, kampung bandan, kampungbandan, kmpng bndn"
KRI,Kranji,"kri, kranji, krnj"
KT,Klaten,"kt, klaten, kltn"
LNA,Lenteng Agung,"lna, lenteng agung, lentengagung, lntng gng"
LPN,Lempuyangan,"lpn, lempuyangan, lmpyngn"
MGB,Mangga Besar,"mgb, mangga besar, manggabesar, mngg bsr"
MGW,Maguwo,"mgw, maguwo"
MJ,Maja,"mj, maja"
MRI,Manggarai,"mri, manggarai, mnggr"
MTR,Matraman,"mtr, matraman, mtrmn"
NMO,Nambo,"nmo, nambo, nmb"
PDJ,Pondok Ranji,"pdj, pondok ranji, pondokranji, pndk rnj"
PDRG,Pondok Rajeg,"pdrg, pondok rajeg, pondokrajeg, pndk rjg"
PI,Poris,"pi, poris, prs"
PL,Palur,"pl, palur, plr"
PLM,Palmerah,"plm, palmerah, plmrh"
POC,Pondok Cina,"poc, pondok cina, pondokcina, pndk cn"
POK,Pondok Jati,"pok, pondok jati, pondokjati, pndk jt"
PRP,Parungpanjang,"prp, parungpanjang, prngpnjng"
PSG,Pesing,"psg, pesing, psng"
PSM,Pasar Minggu,"psm, pasar minggu, pasarminggu, psr mngg"
PSMB,Pasar Minggu Baru,"psmb, pasar minggu baru, pasarminggubaru, psr mngg br"
PWS,Purwosari,"pws, purwosari, prwsr"
RJW,Rajawali,"rjw, rajawali, rjwl"
RK,Rangkasbitung,"rk, rangkasbitung, rngksbtng"
RU,Rawa Buntu,"ru, rawa buntu, rawabuntu, rw bnt"
RW,Rawa Buaya,"rw, rawa buaya, rawabuaya, rw by"
SDM,Sudimara,"sdm, sudimara, sdmr"
SK,Solo Jebres,"sk, solo jebres, solojebres, sl jbrs"
SLO,Solo Balapan,"slo, solo balapan, solobalapan, sl blpn"
SRP,Serpong,"srp, serpong, srpng"
SUD,Sudirman,"sud, sudirman, sdrmn"
SUDB,BNI City,"sudb, bni city, bnicity, bn cty"
SW,Sawah Besar,"sw, sawah besar, sawahbesar, swh bsr"
SWT,Srowot,"swt, srowot, srwt"
TB,Tambun,"tb, tambun, tmbn"
TEB,Tebet,"teb, tebet, tbt"
TEJ,Tenjo,"tej, tenjo, tnj"
TGS,Tigaraksa,"tgs, tigaraksa, tgrks"
THB,Tanah Abang,"thb, tanah abang, tanahabang, tnh bng"
THI,Tanah Tinggi,"thi, tanah tinggi, tanahtinggi, tnh tngg"
TKO,Taman Kota,"tko, taman kota, tamankota, tmn kt"
TLM,Metland Telagamurni,"tlm, metland telagamurni, metlandtelagamurni, mtlnd tlgmrn"
TNG,Tangerang,"tng, tangerang, tngrng"
TNT,Tanjung Barat,"tnt, tanjung barat, tanjungbarat, tnjng brt"
TPK,Tanjung Priok,"tpk, tanjung priok, tanjungpriok, tnjng prk"
UI,Univ. Indonesia,"ui, univ. indonesia, univindonesia, nv. ndns"
UP,Univ. Pancasila,"up, univ. pancasila, univpancasila, nv. pncsl"
YK,Yogyakarta,"yk, yogyakarta, ygykrt"